Row,Length,Win512_Overlap85,Win384_Overlap80,Win256_Overlap70,Win128_Overlap50
100000,100000,0.086867773,0.088018837,0.05506904,0.045921958
200000,200000,0.168060454,0.161338716,0.124402292,0.098141356
300000,300000,0.278330837,0.245943318,0.181000899,0.146318882
400000,400000,0.368323679,0.328173761,0.240428687,0.192256522
500000,500000,0.464317555,0.397526981,0.315031059,0.2509321
600000,600000,0.54461005,0.474599144,0.371241961,0.293123531
700000,700000,0.661736627,0.541665955,0.422288151,0.330644213
800000,800000,0.766632024,0.643388633,0.479638904,0.371073392
900000,900000,0.858843934,0.693817393,0.538341329,0.433558658
1000000,1000000,0.951140163,0.755091725,0.603971925,0.493819562
